NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
20 Microns Limited,35286502,15860521,44.95,19425981,0,0,0,,10/7/24 11:30,2591759,35278228,7.35,,10/7/24 11:30
21st Century Management Services Limited,10500000,6751336,64.3,3748664,0,0,0,,10/7/24 11:30,91950,10192572,0.9,,10/7/24 11:30
360 ONE WAM LIMITED,362866808,57304358,15.79,305562450,23183627,40.46,6.39,,10/7/24 11:30,7952938,364568728,2.18,,10/7/24 11:30
3M India Limited,11265070,8448802,75,2816268,0,0,0,,10/7/24 11:30,148954,11226469,1.33,,10/7/24 11:30
3P Land Holdings Limited,18000000,13194158,73.3,4805842,0,0,0,,10/7/24 11:30,35201,17682425,0.2,,10/7/24 11:30
63 moons technologies limited,46078537,21025878,45.63,25052659,0,0,0,,10/7/24 11:30,1250779,46031625,2.72,,10/7/24 11:30
A2Z Infra Engineering Limited,176119858,49560983,28.14,126558875,49402301,99.68,28.05,,10/7/24 11:30,54917609,176115041,31.18,,10/7/24 11:30
ABB India Limited,211908375,158931281,75,52977094,0,0,0,,10/7/24 11:30,951348,210989495,0.45,,10/7/24 11:30
ACC Limited,187787263,106456927,56.69,81330336,0,0,0,,10/7/24 11:30,1503213,185634271,0.81,,10/7/24 11:30
ADF Foods Limited,109863595,39908565,36.33,69955030,3076190,7.71,2.8,,10/7/24 11:30,9331291,108004590,8.64,,10/7/24 11:30
AGS Transact Technologies Limited,121403076,79923194,65.83,41479882,7155000,8.95,5.89,,10/7/24 11:30,12985322,121402895,10.7,,10/7/24 11:30
AIA Engineering Limited,94320370,55148921,58.47,39171449,0,0,0,,10/7/24 11:30,154832,93320355,0.17,,10/7/24 11:30
AION-TECH SOLUTIONS LIMITED,34582066,18634698,53.89,15947368,0,0,0,,10/7/24 11:30,1355254,34440437,3.94,,10/7/24 11:30
AJR INFRA AND TOLLING LIMITED,941830724,100999800,10.72,840830924,0,0,0,,10/7/24 11:30,120991965,941827508,12.85,,10/7/24 11:30
AMD Industries Limited,19166749,12782466,66.69,6384283,0,0,0,,10/7/24 11:30,162679,19166663,0.85,,10/7/24 11:30
ANDHRA PAPER LIMITED,39770039,28758400,72.31,11011639,0,0,0,,10/7/24 11:30,3151454,16583935,19,,10/7/24 11:30
APL Apollo Tubes Limited,277524564,78598479,28.32,198926085,0,0,0,,10/7/24 11:30,13109678,277520647,4.72,,10/7/24 11:30
ARSS Infrastructure Projects Limited,22737966,10619468,46.7,12118498,2646648,24.92,11.64,,10/7/24 11:30,3604617,22725240,15.86,,10/7/24 11:30
ATLANTAA LIMITED,81500000,59767089,73.33,21732911,0,0,0,,10/7/24 11:30,3960756,81499985,4.86,,10/7/24 11:30
ATN International Limited,39450000,65444,0.17,39384556,0,0,0,,10/7/24 11:30,478728,36541445,1.31,,10/7/24 11:30
AU Small Finance Bank Limited,743159155,170298412,22.92,572860743,0,0,0,,10/7/24 11:30,12881426,743420824,1.73,,10/7/24 11:30
AVT Natural Products Limited,152284000,114212975,75,38071025,0,0,0,,10/7/24 11:30,1977324,148522522,1.33,,10/7/24 11:30
AXISCADES Technologies Limited,41948204,25282047,60.27,16666157,5204000,20.58,12.41,,10/7/24 11:30,7869332,42211612,18.64,,10/7/24 11:30
Aarti Drugs Limited,91935000,51181853,55.67,40753147,0,0,0,,10/7/24 11:30,2623869,90634627,2.89,,10/7/24 11:30
Aarti Industries Limited,362504035,156738924,43.24,205765111,5947500,3.79,1.64,,10/7/24 11:30,24801324,361165243,6.87,,10/7/24 11:30
Aarvee Denims & Exports Limited,23459800,15436303,65.8,8023497,7872515,51,33.56,,10/7/24 11:30,8445192,23194397,36.41,,10/7/24 11:30
Aban Offshore Limited,58365323,26846160,46,31519163,5200000,19.37,8.91,,10/7/24 11:30,6936444,58172241,11.92,,10/7/24 11:30
Abans Holdings Limited,50145950,36149995,72.09,13995955,5132000,14.2,10.23,,10/7/24 11:30,7361131,48999872,15.02,,10/7/24 11:30
Abhishek Corporation Limited,16008462,9225495,57.63,6782967,8164316,88.5,51,,10/7/24 11:30,8195463,16007896,51.2,,10/7/24 11:30
Accelya Solutions India Limited,14926261,11143295,74.66,3782966,0,0,0,,10/7/24 11:30,1121316,14867088,7.54,,10/7/24 11:30
Accuracy Shipping Limited,150560000,95886640,63.69,54673360,0,0,0,,10/7/24 11:30,2972161,150560000,1.97,,10/7/24 11:30
Action Construction Equipment Limited,119083196,77964930,65.47,41118266,0,0,0,,10/7/24 11:30,3434405,119074518,2.88,,10/7/24 11:30
Adani Energy Solutions Limited,1115492683,835972987,74.94,279519696,19092821,2.28,1.71,,10/7/24 11:30,16276693,1201101213,1.36,,10/7/24 11:30
Adani Enterprises Limited,1140001121,851770953,74.72,288230168,0,0,0,,10/7/24 11:30,13949971,1139858598,1.22,,10/7/24 11:30
Adani Green Energy Limited,1584032478,965252959,60.94,618779519,0,0,0,,10/7/24 11:30,6197910,1583918863,0.39,,10/7/24 11:30
Adani Ports and Special Economic Zone Limited,2160138945,1423376085,65.89,736762860,22104000,1.55,1.02,,10/7/24 11:30,19740996,2159905852,0.91,,10/7/24 11:30
Adani Power Limited,3856938941,2804192967,72.71,1052745974,12500000,0.45,0.32,,10/7/24 11:30,65745486,3856583776,1.7,,10/7/24 11:30
Aditya Birla Capital Limited,2600021884,1793054883,68.96,806967001,0,0,0,,10/7/24 11:30,38116043,2584081142,1.48,,10/7/24 11:30
Aditya Birla Fashion and Retail Limited,1015019716,532119957,52.42,482899759,0,0,0,,10/7/24 11:30,35939517,1065495435,3.37,,10/7/24 11:30
Aditya Birla Money Limited,56509201,41550000,73.53,14959201,0,0,0,,10/7/24 11:30,1125189,55632070,2.02,,10/7/24 11:30
Ador Welding Limited,13598467,7742944,56.94,5855523,0,0,0,,10/7/24 11:30,269810,13237962,2.04,,10/7/24 11:30
Advanced Enzyme Technologies Limited,111824075,48102485,43.02,63721590,0,0,0,,10/7/24 11:30,2481668,111595075,2.22,,10/7/24 11:30
Advani Hotels & Resorts (India) Limited,92438500,46452004,50.25,45986496,0,0,0,,10/7/24 11:30,725847,91853940,0.79,,10/7/24 11:30
Aegis Logistics Limited,351000000,203924675,58.1,147075325,0,0,0,,10/7/24 11:30,4753719,348065998,1.37,,10/7/24 11:30
Agarwal Industrial Corporation Limited,14957789,8555434,57.2,6402355,0,0,0,,10/7/24 11:30,645967,14953489,4.32,,10/7/24 11:30
Agri-Tech (India) Limited,5940000,1847428,31.1,4092572,0,0,0,,10/7/24 11:30,94687,5680437,1.67,,10/7/24 11:30
Agro Phos India Limited,20274115,11002425,54.27,9271690,0,0,0,,10/7/24 11:30,446568,19799055,2.26,,10/7/24 11:30
Agro Tech Foods Limited,24369264,12616619,51.77,11752645,0,0,0,,10/7/24 11:30,1241901,24255011,5.12,,10/7/24 11:30
Ahlada Engineers Limited,12921000,6370501,49.3,6550499,0,0,0,,10/7/24 11:30,200043,12921000,1.55,,10/7/24 11:30
Ahluwalia Contracts (India) Limited,66987560,37055977,55.32,29931583,0,0,0,,10/7/24 11:30,850622,66935525,1.27,,10/7/24 11:30
Airo Lam limited,15002000,7953850,53.02,7048150,1500200,18.86,10,,10/7/24 11:30,1590045,15002000,10.6,,10/7/24 11:30
Ajanta Pharma Limited,124887774,82763777,66.27,42123997,9572644,11.57,7.66,,10/7/24 11:30,9989541,124728088,8.01,,10/7/24 11:30
Ajmera Realty & Infra India Limited,35484875,26328187,74.2,9156688,1950000,7.41,5.5,,10/7/24 11:30,1117768,35453287,3.15,,10/7/24 11:30
Akg Exim Limited,31776576,17260579,54.32,14515997,0,0,0,,10/7/24 11:30,1227603,31774976,3.86,,10/7/24 11:30
Aksh Optifibre Limited,162697971,42126151,25.89,120571820,0,0,0,,10/7/24 11:30,10027293,162593495,6.17,,10/7/24 11:30
Akzo Nobel India Limited,45540314,34044335,74.76,11495979,0,0,0,,10/7/24 11:30,158449,45133854,0.35,,10/7/24 11:30
Alankit Limited,271158100,146826224,54.15,124331876,0,0,0,,10/7/24 11:30,5912561,270812660,2.18,,10/7/24 11:30
Alchemist Limited,13559800,4738341,34.94,8821459,,,,,10/7/24 11:30,141059,12933102,1.09,,10/7/24 11:30
Alembic Limited,256781828,182011077,70.88,74770751,0,0,0,,10/7/24 11:30,8383862,254552034,3.29,,10/7/24 11:30
Alembic Pharmaceuticals Limited,196563124,136828253,69.61,59734871,0,0,0,,10/7/24 11:30,965001,195508443,0.49,,10/7/24 11:30
Alicon Castalloy Limited,16261840,8976368,55.2,7285472,0,0,0,,10/7/24 11:30,375407,16233018,2.31,,10/7/24 11:30
Alkali Metals Limited,10182506,7085842,69.59,3096664,2130000,30.06,20.92,,10/7/24 11:30,2321208,10181998,22.8,,10/7/24 11:30
Alkyl Amines Chemicals Limited,51131032,36799268,71.97,14331764,0,0,0,,10/7/24 11:30,848463,50769483,1.67,,10/7/24 11:30
Allcargo Gati Limited,147015964,68945930,46.9,78070034,276100,0.4,0.19,,10/7/24 11:30,16388784,146552293,11.18,,10/7/24 11:30
Allcargo Logistics Limited,982782096,625629024,63.66,357153072,0,0,0,,10/7/24 11:30,55246032,982716826,5.62,,10/7/24 11:30
Alldigi Tech Limited,15238326,11182912,73.39,4055414,0,0,0,,10/7/24 11:30,495326,15238262,3.25,,10/7/24 11:30
Allied Digital Services Limited,55409403,28861800,52.09,26547603,0,0,0,,10/7/24 11:30,2167577,54332749,3.99,,10/7/24 11:30
Almondz Global Securities Limited,27684597,15602102,56.36,12082495,0,0,0,,10/7/24 11:30,9237097,167627064,5.51,,10/7/24 11:30
Alok Industries Limited,4965240401,3723845177,75,1241395224,0,0,0,,10/7/24 11:30,98731652,4963089368,1.99,,10/7/24 11:30
Alpa Laboratories Limited,21040600,12055010,57.29,8985590,0,0,0,,10/7/24 11:30,611537,21035400,2.91,,10/7/24 11:30
Alphageo (India) Limited,6364767,2932592,46.08,3432175,280534,9.57,4.41,,10/7/24 11:30,558310,6309938,8.85,,10/7/24 11:30
Alps Industries Limited,39114100,8686018,22.21,30428082,4019018,46.27,10.28,,10/7/24 11:30,4562538,39043252,11.69,,10/7/24 11:30
Amara Raja Energy & Mobility Limited,183025364,60145316,32.86,122880048,0,0,0,,10/7/24 11:30,6075289,182524940,3.33,,10/7/24 11:30
Ambica Agarbathies & Aroma industries Limited,17177400,7457532,43.41,9719868,2000,0.03,0.01,,10/7/24 11:30,146612,17004781,0.86,,10/7/24 11:30
Ambika Cotton Mills Limited,5725000,2872350,50.17,2852650,0,0,0,,10/7/24 11:30,222462,5697453,3.9,,10/7/24 11:30
Ambuja Cements Limited,2463123478,1732676893,70.34,730446585,0,0,0,,10/7/24 11:30,26248656,2455318683,1.07,,10/7/24 11:30
Amit Spinning Industries Limited,41169667,20981077,50.96,20188590,8233934,39.24,20,,10/7/24 11:30,8233934,39142447,21.04,,10/7/24 11:30
Amj Land Holdings Limited,41000000,27020005,65.9,13979995,0,0,0,,10/7/24 11:30,1234392,40470225,3.05,,10/7/24 11:30
Amrutanjan Health Care Limited,28910630,14644728,50.66,14265902,0,0,0,,10/7/24 11:30,751045,28410778,2.64,,10/7/24 11:30
Anand Rathi Wealth Limited,41458297,19935765,48.09,21522532,2250,0.01,0.01,,10/7/24 11:30,4436608,41510316,10.69,,10/7/24 11:30
Anant Raj Limited,341890753,205146158,60,136744595,0,0,0,,10/7/24 11:30,15726516,340918724,4.61,,10/7/24 11:30
Andhra Cements Limited,92172140,82954926,90,9217214,21890883,26.39,23.75,,10/7/24 11:30,22750711,91737735,24.8,,10/7/24 11:30
Anik Industries Limited,27753486,10493380,37.81,17260106,0,0,0,,10/7/24 11:30,1146007,22634942,5.06,,10/7/24 11:30
Ankit Metal & Power Limited,141110500,100215000,71.02,40895500,100215000,100,71.02,,10/7/24 11:30,101393247,141110366,71.85,,10/7/24 11:30
Anmol India Limited,56914150,32489150,57.08,24425000,10936900,33.66,19.22,,10/7/24 11:30,12639637,56914150,22.21,,10/7/24 11:30
Ansal Properties & Infrastructure Limited,157404876,76768484,48.77,80636392,55564816,72.38,35.3,,10/7/24 11:30,58545809,156840564,37.33,,10/7/24 11:30
Antarctica Limited,155009600,17122923,11.05,137886677,0,0,0,,10/7/24 11:30,1593318,140085695,1.14,,10/7/24 11:30
Antony Waste Handling Cell Limited,28382100,13095909,46.14,15286191,45000,0.34,0.16,,10/7/24 11:30,1957915,28382100,6.9,,10/7/24 11:30
Anupam Rasayan India Limited,109834688,67253016,61.23,42581672,7250000,10.78,6.6,,10/7/24 11:30,23012362,109834688,20.95,,10/7/24 11:30
Apar Industries Limited,40168315,23204303,57.77,16964012,0,0,0,,10/7/24 11:30,493950,40089803,1.23,,10/7/24 11:30
Apcotex Industries Limited,51844960,30188720,58.23,21656240,0,0,0,,10/7/24 11:30,1487031,50723568,2.93,,10/7/24 11:30
Apollo Hospitals Enterprise Limited,143784657,42177612,29.33,101607045,6785000,16.09,4.72,,10/7/24 11:30,6286035,142681705,4.41,,10/7/24 11:30
Apollo Micro Systems Limited,306489560,168923000,55.12,137566560,29485000,17.45,9.62,,10/7/24 11:30,57442733,306489480,18.74,,10/7/24 11:30
Apollo Pipes Limited,41353206,19150250,46.31,22202956,0,0,0,,10/7/24 11:30,1930579,41337556,4.67,,10/7/24 11:30
Apollo Sindoori Hotels Limited,2600400,1681882,64.68,918518,0,0,0,,10/7/24 11:30,61737,2529180,2.44,,10/7/24 11:30
Apollo Tyres Limited,635100946,237265403,37.36,397835543,2745960,1.16,0.43,,10/7/24 11:30,68481440,627916584,10.91,,10/7/24 11:30
Aptech Limited,57988074,27464554,47.36,30523520,,,,,10/7/24 11:30,5408715,57676253,9.38,,10/7/24 11:30
Archean Chemical Industries Limited,123396969,65959184,53.45,57437785,3002000,4.55,2.43,,10/7/24 11:30,7231321,123396969,5.86,,10/7/24 11:30
Archidply Industries Limited,19865000,13883523,69.89,5981477,0,0,0,,10/7/24 11:30,507141,19794830,2.56,,10/7/24 11:30
Archies Limited,33780000,21026477,62.25,12753523,0,0,0,,10/7/24 11:30,1026162,33692566,3.05,,10/7/24 11:30
Arcotech Limited,105000000,41960144,39.96,63039856,19154794,45.65,18.24,,10/7/24 11:30,20348855,103663703,19.63,,10/7/24 11:30
Aries Agro Limited,13004339,6847926,52.66,6156413,0,0,0,,10/7/24 11:30,456286,12926860,3.53,,10/7/24 11:30
Arihant Capital Markets Limited,104112800,72680160,69.81,31432640,100000,0.14,0.1,,10/7/24 11:30,2537116,103003000,2.46,,10/7/24 11:30
Arihant Superstructures Limited,41159991,30751128,74.71,10408863,0,0,0,,10/7/24 11:30,2373831,41136322,5.77,,10/7/24 11:30
Aro Granite Industries Limited,15300000,6285656,41.08,9014344,0,0,0,,10/7/24 11:30,324527,15065376,2.15,,10/7/24 11:30
Arshiya Limited,263475915,37871225,14.37,225604690,37871225,100,14.37,,10/7/24 11:30,53051127,262960064,20.17,,10/7/24 11:30
Artemis Medicare Services Limited,136915840,92430790,67.51,44485050,41159625,44.53,30.06,,10/7/24 11:30,2242294,136938940,1.64,,10/7/24 11:30
Arvind Fashions Limited,133226210,46906359,35.21,86319851,3900000,8.31,2.93,,10/7/24 11:30,10863672,132747905,8.18,,10/7/24 11:30
Arvind Limited,261630474,103621498,39.61,158008976,7500000,7.24,2.87,,10/7/24 11:30,21489739,260291451,8.26,,10/7/24 11:30
Arvind SmartSpaces Limited,45461979,22852999,50.27,22608980,0,0,0,,10/7/24 11:30,3961341,45381715,8.73,,10/7/24 11:30
Asahi India Glass Limited,243089931,131828320,54.23,111261611,0,0,0,,10/7/24 11:30,13141717,240596285,5.46,,10/7/24 11:30
Asahi Songwon Colors Limited,11787262,7870394,66.77,3916868,0,0,0,,10/7/24 11:30,213722,11785166,1.81,,10/7/24 11:30
Ashapura Intimates Fashion Limited,25211406,3720692,14.76,21490714,1924631,51.73,7.63,,10/7/24 11:30,2299163,25184590,9.13,,10/7/24 11:30
Ashapura Minechem Limited,91486098,41522228,45.39,49963870,12740174,30.68,13.93,,10/7/24 11:30,12190066,91303105,13.35,,10/7/24 11:30
Ashiana Housing Limited,100524857,61426786,61.11,39098071,0,0,0,,10/7/24 11:30,1392400,99047619,1.41,,10/7/24 11:30
Ashima Limited,191660078,140842835,73.49,50817243,0,0,0,,10/7/24 11:30,2989031,190994334,1.56,,10/7/24 11:30
Ashok Leyland Limited,2936427276,1524330261,51.91,1412097015,331660000,21.76,11.29,,10/7/24 11:30,436579167,2928523039,14.91,,10/7/24 11:30
Ashoka Buildcon Limited,280723217,152928785,54.48,127794432,0,0,0,,10/7/24 11:30,13490725,280723213,4.81,,10/7/24 11:30
Asian Granito India Limited,126745316,36775302,29.02,89970014,0,0,0,,10/7/24 11:30,10598292,126745315,8.36,,10/7/24 11:30
Asian Hotels (East) Limited,17291696,11349179,65.63,5942517,0,0,0,,10/7/24 11:30,1148773,17113078,6.71,,10/7/24 11:30
Asian Hotels (North) Limited,19453229,616664,3.17,18836565,31500,5.11,0.16,,10/7/24 11:30,1420475,19335124,7.35,,10/7/24 11:30
Asian Paints Limited,959197790,505314389,52.68,453883401,36080427,7.14,3.76,,10/7/24 11:30,46023272,955738071,4.82,,10/7/24 11:30
Astec LifeSciences Limited,19610265,13089856,66.75,6520409,0,0,0,,10/7/24 11:30,1160169,19611366,5.92,,10/7/24 11:30
Aster DM Healthcare Limited,499513060,210780689,42.2,288732371,206834332,98.13,41.41,,10/7/24 11:30,211798062,499210316,42.43,,10/7/24 11:30
Astra Microwave Products Limited,94945008,6205827,6.54,88739181,0,0,0,,10/7/24 11:30,10624767,94757933,11.21,,10/7/24 11:30
AstraZeneca Pharma India Limited,25000000,18750000,75,6250000,0,0,0,,10/7/24 11:30,706420,24865920,2.84,,10/7/24 11:30
Astral Limited,268627009,145331166,54.1,123295843,0,0,0,,10/7/24 11:30,3038180,268611765,1.13,,10/7/24 11:30
Astron Paper & Board Mill Limited,46500000,12583250,27.06,33916750,0,0,0,,10/7/24 11:30,3974924,46499700,8.55,,10/7/24 11:30
Atcom Technologies Limited,15340000,2163600,14.1,13176400,1371500,63.39,8.94,,10/7/24 11:30,1498947,14166304,10.58,,10/7/24 11:30
Atlas Cycles (Haryana) Limited,6503838,2726494,41.92,3777344,0,0,0,,10/7/24 11:30,137287,6295197,2.18,,10/7/24 11:30
Atul Limited,29441755,13299018,45.17,16142737,130000,0.98,0.44,,10/7/24 11:30,740148,29191490,2.54,,10/7/24 11:30
Aurionpro Solutions Limited,27606765,7421668,26.88,20185097,550000,7.41,1.99,,10/7/24 11:30,1379102,55174681,2.5,,10/7/24 11:30
Aurobindo Pharma Limited,585938609,303515471,51.8,282423138,63368000,20.88,10.81,,10/7/24 11:30,67317655,580109431,11.6,,10/7/24 11:30
Aurum PropTech Limited,72128189,36032859,49.96,36095330,0,0,0,,10/7/24 11:30,1015695,29049155,3.5,,10/7/24 11:30
Ausom Enterprise Limited,13623552,10040000,73.7,3583552,0,0,0,,10/7/24 11:30,28607,12764606,0.22,,10/7/24 11:30
Autoline Industries Limited,38963164,13011258,33.39,25951906,0,0,0,,10/7/24 11:30,910455,38857510,2.34,,10/7/24 11:30
Automotive Axles Limited,15111975,10735226,71.04,4376749,0,0,0,,10/7/24 11:30,244546,15074617,1.62,,10/7/24 11:30
Automotive Stampings and Assemblies Limited,15864397,11898296,75,3966101,0,0,0,,10/7/24 11:30,286066,15842085,1.81,,10/7/24 11:30
Avadh Sugar & Energy Limited,20018420,12089172,60.39,7929248,2879682,23.82,14.39,,10/7/24 11:30,3819933,19936809,19.16,,10/7/24 11:30
Avanti Feeds Limited,136245630,58895153,43.23,77350477,0,0,0,,10/7/24 11:30,3764919,135303494,2.78,,10/7/24 11:30
Axis Bank Limited,3090246466,387030185,12.52,2703216281,0,0,0,,10/7/24 11:30,27593367,3090773653,0.89,,10/7/24 11:30
Axita Cotton Limited,260878008,163752604,62.77,97125404,13,0,0,,10/7/24 11:30,4297702,260878008,1.65,,10/7/24 11:30
B. L. Kashyap and Sons Limited,225440000,138978276,61.65,86461724,138233158,99.46,61.32,,10/7/24 11:30,147900410,225434018,65.61,,10/7/24 11:30
